Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
34.0,Female,86.7,1.86,174.0,152.0,74.0,1.12,712.0,Strength,12.8,2.4,5.0,2.0,14.31
26.0,Female,84.7,1.83,166.0,156.0,73.0,1.0,833.0,Strength,27.9,2.8,5.0,2.0,33.49
22.0,Male,64.8,1.85,187.0,166.0,64.0,1.24,1678.0,Cardio,28.7,1.9,3.0,2.0,12.73
54.0,Female,75.3,1.82,187.0,169.0,58.0,1.45,628.0,Cardio,31.8,2.4,4.0,1.0,20.37
34.0,Female,52.8,1.74,177.0,169.0,66.0,1.6,1286.0,Strength,26.4,3.2,4.0,2.0,20.83
38.0,Female,53.0,1.58,161.0,128.0,74.0,1.62,953.0,HIIT,23.4,2.5,2.0,2.0,13.02
44.0,Female,46.5,1.81,191.0,142.0,74.0,1.46,1238.0,Cardio,11.9,3.7,2.0,2.0,18.12
50.0,Female,88.5,1.63,181.0,136.0,63.0,1.63,829.0,Strength,11.6,1.8,4.0,2.0,19.16
18.0,Female,82.9,1.54,174.0,169.0,64.0,0.77,802.0,HIIT,27.8,2.2,3.0,1.0,49.84
34.0,Female,65.9,1.74,195.0,169.0,73.0,2.0,1231.0,Yoga,30.5,3.2,5.0,2.0,12.32
39.0,Female,47.0,1.78,181.0,155.0,55.0,1.89,747.0,Yoga,31.7,2.3,3.0,3.0,28.39
46.0,Male,40.0,1.88,168.0,131.0,69.0,2.0,672.0,Strength,25.4,2.4,2.0,2.0,12.32
19.0,Male,87.7,1.98,186.0,145.0,50.0,1.61,1705.0,Strength,14.1,2.3,3.0,2.0,15.99
56.0,Female,107.4,1.73,176.0,141.0,71.0,0.65,1564.0,HIIT,26.0,3.0,2.0,3.0,14.48
19.0,Female,71.7,1.91,197.0,148.0,74.0,1.15,464.0,Cardio,32.5,2.7,4.0,2.0,19.09
30.0,Female,90.6,1.6,161.0,125.0,52.0,1.03,1410.0,Yoga,16.0,3.5,4.0,2.0,13.91
23.0,Male,56.2,1.76,195.0,141.0,55.0,1.45,1195.0,HIIT,23.9,3.2,4.0,1.0,22.61
39.0,Female,71.3,1.77,171.0,124.0,74.0,0.69,871.0,Cardio,21.9,2.1,5.0,1.0,14.31
54.0,Female,47.7,1.56,181.0,128.0,74.0,1.5,853.0,Yoga,26.5,1.5,3.0,1.0,23.64
33.0,Male,63.0,1.51,184.0,169.0,71.0,1.3,1136.0,Cardio,23.8,2.3,3.0,2.0,22.69
26.0,Male,129.9,1.71,196.0,136.0,74.0,1.27,931.0,Yoga,26.6,1.8,5.0,1.0,21.04
22.0,Female,102.4,1.5,173.0,156.0,55.0,1.44,453.0,HIIT,17.5,1.6,4.0,3.0,18.23
36.0,Female,64.2,1.78,192.0,130.0,74.0,1.38,1708.0,Yoga,31.9,2.1,3.0,1.0,25.59
18.0,Male,129.4,1.5,177.0,145.0,71.0,1.37,772.0,Strength,22.0,1.7,5.0,1.0,18.07
25.0,Male,57.2,1.82,184.0,140.0,74.0,1.15,888.0,Strength,26.9,2.6,4.0,2.0,15.23
59.0,Male,71.8,1.5,165.0,152.0,74.0,1.94,758.0,Yoga,28.9,3.3,3.0,1.0,16.87
18.0,Male,112.4,1.71,177.0,165.0,55.0,1.56,1044.0,HIIT,33.5,1.7,2.0,2.0,24.43
18.0,Male,40.0,1.72,188.0,155.0,74.0,1.51,1266.0,Cardio,26.4,2.5,2.0,2.0,17.79
25.0,Female,64.3,1.65,183.0,169.0,67.0,1.28,1783.0,Cardio,20.0,3.2,2.0,3.0,20.59
32.0,Male,72.4,1.74,189.0,127.0,60.0,1.4,1090.0,Yoga,16.9,1.6,2.0,1.0,17.68
28.0,Male,62.4,1.56,193.0,141.0,55.0,2.0,861.0,Cardio,32.2,3.6,3.0,1.0,18.61
27.0,Female,78.6,1.65,198.0,127.0,66.0,1.61,938.0,Yoga,26.8,3.1,3.0,1.0,17.92
44.0,Female,45.0,1.53,199.0,158.0,50.0,0.7,930.0,Strength,21.9,3.6,4.0,1.0,27.74
20.0,Female,103.4,1.53,180.0,166.0,56.0,1.28,631.0,HIIT,23.0,3.0,4.0,1.0,19.18
51.0,Male,79.2,1.85,178.0,147.0,51.0,1.52,1355.0,Strength,23.2,2.0,4.0,1.0,18.95
52.0,Female,40.0,1.84,181.0,156.0,56.0,1.2,1258.0,Cardio,25.0,2.0,4.0,2.0,12.32
35.0,Male,75.7,1.61,192.0,147.0,52.0,0.92,1211.0,Strength,21.2,2.4,3.0,2.0,23.19
21.0,Male,76.8,1.75,166.0,125.0,74.0,1.56,1152.0,Strength,25.1,2.7,3.0,1.0,16.66
48.0,Female,112.6,1.69,160.0,162.0,63.0,0.89,1482.0,Cardio,22.6,2.5,4.0,2.0,12.32
18.0,Male,73.7,1.78,192.0,154.0,73.0,1.18,851.0,Strength,27.4,2.6,2.0,2.0,21.08
18.0,Female,84.0,1.71,194.0,148.0,52.0,0.92,621.0,Strength,28.3,3.4,3.0,3.0,17.99
28.0,Male,68.0,1.7,174.0,155.0,68.0,0.74,1464.0,Yoga,17.0,2.3,3.0,2.0,21.67
23.0,Male,107.6,1.5,181.0,136.0,71.0,1.53,1062.0,Cardio,10.0,2.3,5.0,3.0,23.77
30.0,Female,54.3,1.82,185.0,168.0,66.0,1.4,1415.0,Strength,25.4,3.6,3.0,1.0,26.4
18.0,Female,42.8,1.89,194.0,162.0,73.0,2.0,736.0,Strength,22.5,1.5,3.0,2.0,18.54
37.0,Female,55.4,1.68,197.0,146.0,52.0,1.04,338.0,Cardio,27.4,3.2,3.0,3.0,17.71
49.0,Female,102.4,1.65,185.0,148.0,68.0,1.27,980.0,Cardio,34.8,2.0,5.0,2.0,15.52
42.0,Female,95.5,1.95,168.0,125.0,72.0,1.91,632.0,HIIT,26.1,2.0,4.0,1.0,12.32
27.0,Female,58.7,1.98,199.0,145.0,52.0,2.0,1119.0,Cardio,23.0,2.7,2.0,3.0,18.99
35.0,Female,49.7,1.86,161.0,146.0,62.0,1.12,867.0,Strength,15.2,1.8,4.0,3.0,12.32
24.0,Female,86.5,1.65,196.0,169.0,59.0,1.08,771.0,Cardio,27.3,2.1,3.0,1.0,12.9
44.0,Female,63.6,1.78,167.0,129.0,74.0,1.34,1165.0,Yoga,10.7,3.4,4.0,1.0,15.73
52.0,Male,58.7,1.58,169.0,131.0,53.0,1.14,900.0,HIIT,28.5,3.3,3.0,2.0,19.62
49.0,Female,56.6,1.75,198.0,120.0,72.0,1.12,1767.0,Yoga,23.6,2.6,2.0,2.0,34.37
36.0,Female,40.0,1.71,178.0,169.0,69.0,1.3,1519.0,HIIT,27.5,2.7,4.0,1.0,39.74
23.0,Female,67.7,1.73,188.0,162.0,54.0,1.76,954.0,Yoga,18.0,3.2,3.0,1.0,16.07
56.0,Female,40.0,1.74,172.0,146.0,74.0,1.43,876.0,Yoga,26.0,3.4,2.0,1.0,19.63
48.0,Female,68.0,1.69,185.0,144.0,68.0,1.23,695.0,Yoga,14.2,2.6,2.0,1.0,28.93
24.0,Male,68.3,1.74,184.0,161.0,51.0,1.9,566.0,Cardio,27.5,3.5,4.0,2.0,16.26
22.0,Female,99.1,1.72,182.0,169.0,62.0,1.14,1105.0,Yoga,31.4,3.6,4.0,1.0,16.91
20.0,Female,72.9,1.63,164.0,156.0,51.0,1.11,582.0,Strength,27.1,3.2,3.0,2.0,19.83
44.0,Female,40.0,1.68,175.0,156.0,74.0,1.04,1010.0,Cardio,28.1,1.8,3.0,3.0,12.32
33.0,Female,58.3,1.77,167.0,153.0,74.0,1.41,969.0,Strength,29.5,2.6,2.0,1.0,20.47
18.0,Male,40.0,1.64,177.0,134.0,53.0,0.98,468.0,\nStrength,25.6,2.1,3.0,3.0,18.78
59.0,Male,45.8,1.5,163.0,137.0,55.0,1.98,1306.0,\tCardio,24.0,2.9,4.0,2.0,26.25
27.0,Male,52.3,1.75,180.0,128.0,61.0,1.92,931.0,Strength,15.0,2.5,4.0,2.0,23.23
33.0,Female,76.3,1.95,188.0,125.0,72.0,0.95,899.0,Strength,21.7,2.3,5.0,1.0,26.08
47.0,Male,77.5,1.72,176.0,151.0,56.0,1.39,679.0,Cardio,13.3,3.5,2.0,3.0,24.32
18.0,Male,65.5,1.8,197.0,165.0,56.0,0.74,1208.0,HIIT,26.1,3.3,3.0,3.0,12.32
46.0,Female,40.0,1.58,177.0,132.0,58.0,1.29,1189.0,Strength,31.1,2.5,3.0,2.0,12.73
27.0,Male,96.3,1.61,198.0,159.0,70.0,1.16,1203.0,Cardio,32.1,3.1,3.0,1.0,12.32
34.0,Female,49.6,1.52,191.0,146.0,59.0,1.59,744.0,HIIT,22.2,1.6,3.0,1.0,20.97
45.0,Male,86.4,1.51,181.0,159.0,69.0,1.23,1313.0,\tCardio,35.0,3.3,3.0,3.0,16.06
55.0,Female,68.4,1.85,175.0,150.0,58.0,1.16,1020.0,Cardio,29.2,2.5,4.0,2.0,22.87
18.0,Female,56.9,1.77,183.0,131.0,57.0,1.28,1052.0,Cardio,20.7,3.5,4.0,2.0,18.57
41.0,Female,51.1,1.94,181.0,137.0,72.0,1.23,1084.0,Strength,16.4,2.3,3.0,2.0,16.41
24.0,Male,47.6,1.51,175.0,120.0,70.0,0.78,583.0,Strength,22.6,1.7,5.0,1.0,13.71
26.0,Female,88.8,1.7,193.0,169.0,68.0,1.91,1145.0,Strength,18.1,3.7,2.0,2.0,30.34
18.0,Female,67.5,1.69,177.0,169.0,72.0,1.07,975.0,Strength,26.2,1.6,4.0,3.0,14.08
29.0,Male,96.7,1.7,175.0,141.0,54.0,2.0,880.0,Yoga,32.9,2.3,2.0,3.0,13.16
26.0,Female,55.7,1.99,172.0,142.0,68.0,2.0,1583.0,Strength,18.9,3.2,4.0,1.0,12.32
43.0,Male,112.0,1.71,166.0,146.0,58.0,1.62,815.0,HIIT,31.2,2.6,3.0,1.0,21.1
48.0,Male,75.2,1.72,193.0,169.0,59.0,1.54,1726.0,Cardio,30.9,1.9,2.0,2.0,18.64
29.0,Female,72.0,1.66,167.0,144.0,68.0,0.87,1248.0,HIIT,10.0,3.6,4.0,3.0,17.55
57.0,Female,63.6,1.87,170.0,158.0,65.0,1.56,840.0,Strength,23.7,3.6,4.0,1.0,12.32
